,Order,Family,Genus,Species,Common Name,?,Introduced,Diet
1,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,Western cattle egret,,,
,Accipitriformes,Accipitridae,Buteo,Buteo albonotatus,Zone-tailed hawk,yes,,
,Charadriiformes,Scolopacidae,Limosa,Limosa fedoa,Marbled godwit,,,
,Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,Caspian tern,,,
,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,Phalaenoptilus nuttallii,Common poorwill,,,
,Caprimulgiformes,Apodidae,Cypseloides,Cypseloides niger,Black swift,?,,
,Passeriformes,Certhiidae,Certhia,Certhia americana,Brown creeper,?,,
,Passeriformes,Troglodytidae,Troglodytes,Troglodytes hiemalis,Winter wren,???,,
,Passeriformes,Troglodytidae,Cistothorus,Cistothorus palustris,Marsh wren,?,,
,Passeriformes,Cardinalidae,Pheucticus,Pheucticus ludovicianus,Rose-breasted grosbeak,???,,
,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Tricolored blackbird,,,
,Passeriformes,Icteridae,Xanthocephalus,Xanthocephalus xanthocephalus,Yellow-headed blackbird,?,,
,Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,Great-tailed Grackle,,,
